id	obs	chi	immut	mtype	ftype
lycurgan_laws__demographic_trap_reading	moderate	0.4063760281675889	rope	tangled_rope	tangled_rope
lycurgan_laws__demographic_trap_reading	institutional	0.39520668839047984	rope	tangled_rope	tangled_rope
lycurgan_laws__demographic_trap_reading	analytical	0.4067034524040913	mountain	tangled_rope	tangled_rope
maat_order_principle__reciprocity_reading	powerless	0.2093388331677675	mountain	unknown	unknown
maat_order_principle__reciprocity_reading	moderate	0.20814381930535042	rope	rope	rope
maat_order_principle__reciprocity_reading	institutional	0.20242293795609945	rope	rope	rope
maat_order_principle__reciprocity_reading	analytical	0.20831152440209555	mountain	rope	rope
marriage_authority__judicial_harmonization_reading	powerless	0.2890869600888218	mountain	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	moderate	0.2874367028502458	rope	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	institutional	0.2795364381298516	rope	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	analytical	0.28766829560289386	mountain	scaffold	scaffold
mitochondrial_demand_signal_deficiency	powerless	0.333403938822024	mountain	naturalized	naturalized
mitochondrial_demand_signal_deficiency	moderate	0.33699475506580545	rope	naturalized	naturalized
mitochondrial_demand_signal_deficiency	institutional	0.3305008730623655	rope	naturalized	naturalized
mitochondrial_demand_signal_deficiency	analytical	0.33726627760339284	mountain	naturalized	naturalized
moral_causation_locus_contradictions	powerless	unknown	mountain	unknown	unknown
moral_causation_locus_contradictions	moderate	unknown	rope	unknown	unknown
moral_causation_locus_contradictions	institutional	unknown	rope	unknown	unknown
moral_causation_locus_contradictions	analytical	unknown	mountain	unknown	unknown
moral_causation_locus_flat_control	powerless	0.333403938822024	mountain	naturalized	rope
moral_causation_locus_flat_control	moderate	0.33699475506580545	rope	naturalized	rope
moral_causation_locus_flat_control	institutional	0.32773237573844677	rope	naturalized	rope
moral_causation_locus_flat_control	analytical	0.33726627760339284	mountain	naturalized	rope
nad_precursor_bioavailability	powerless	0.33892953941448073	mountain	naturalized	naturalized
nad_precursor_bioavailability	moderate	0.33699475506580545	rope	naturalized	naturalized
nad_precursor_bioavailability	institutional	0.32773237573844677	rope	naturalized	naturalized
nad_precursor_bioavailability	analytical	0.33726627760339284	mountain	naturalized	naturalized
neutron_star_bombardment_reading	powerless	0.059857141521656394	mountain	scaffold	scaffold
neutron_star_bombardment_reading	moderate	0.05933549233229853	rope	scaffold	scaffold
neutron_star_bombardment_reading	institutional	0.05783512513031413	rope	scaffold	scaffold
neutron_star_bombardment_reading	analytical	0.05951757840059873	mountain	scaffold	scaffold
nicene_creed_authority__liturgical_habituation_reading	powerless	0.0399047610144376	mountain	unknown	rope
nicene_creed_authority__liturgical_habituation_reading	moderate	0.039556994888199026	rope	rope	rope
nicene_creed_authority__liturgical_habituation_reading	institutional	0.039104458161172494	rope	rope	rope
nicene_creed_authority__liturgical_habituation_reading	analytical	0.03967838560039915	mountain	rope	rope
organization_floor_c0	powerless	0.2093388331677675	mountain	scaffold	scaffold
organization_floor_c0	moderate	0.20814381930535042	rope	scaffold	scaffold
organization_floor_c0	institutional	0.20242293795609945	rope	scaffold	scaffold
organization_floor_c0	analytical	0.20831152440209555	mountain	scaffold	scaffold
performance_legitimacy_contradictions	powerless	unknown	mountain	unknown	unknown
performance_legitimacy_contradictions	moderate	unknown	rope	unknown	unknown
performance_legitimacy_contradictions	institutional	unknown	rope	unknown	unknown
performance_legitimacy_contradictions	analytical	unknown	mountain	unknown	unknown
performance_legitimacy_flat_control	powerless	0.329005016740436	mountain	naturalized	rope
performance_legitimacy_flat_control	moderate	0.33699475506580545	rope	naturalized	rope
performance_legitimacy_flat_control	institutional	0.32773237573844677	rope	naturalized	rope
performance_legitimacy_flat_control	analytical	0.33726627760339284	mountain	naturalized	rope
polaris_document_status_contradictions	powerless	unknown	mountain	unknown	unknown
polaris_document_status_contradictions	moderate	unknown	rope	unknown	unknown
polaris_document_status_contradictions	institutional	unknown	rope	unknown	unknown
polaris_document_status_contradictions	analytical	unknown	mountain	unknown	unknown
polaris_document_status_flat_control	powerless	0.2093388331677675	mountain	unknown	unknown
polaris_document_status_flat_control	moderate	0.20814381930535042	rope	rope	rope
polaris_document_status_flat_control	institutional	0.20242293795609945	rope	rope	rope
polaris_document_status_flat_control	analytical	0.20831152440209555	mountain	rope	rope
post_evidentiary	powerless	0.33796934409038054	mountain	naturalized	rope
post_evidentiary	moderate	0.33699475506580545	rope	naturalized	rope
post_evidentiary	institutional	0.32773237573844677	rope	naturalized	rope
post_evidentiary	analytical	0.33726627760339284	mountain	naturalized	rope
pragmatic_action_reading	powerless	0.2093388331677675	mountain	scaffold	scaffold
pragmatic_action_reading	moderate	0.20814381930535042	rope	scaffold	scaffold
pragmatic_action_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
pragmatic_action_reading	analytical	0.20831152440209555	mountain	scaffold	scaffold
pre_public_initiative_reading	powerless	0.20949999532579738	mountain	scaffold	scaffold
pre_public_initiative_reading	moderate	0.20767422316304487	rope	scaffold	scaffold
pre_public_initiative_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
pre_public_initiative_reading	analytical	0.20831152440209555	mountain	scaffold	scaffold
prerequisite_debt_reading	powerless	0.23924438076316287	mountain	scaffold	scaffold
prerequisite_debt_reading	moderate	0.2378786506346862	rope	scaffold	scaffold
prerequisite_debt_reading	institutional	0.23134050052125651	rope	scaffold	scaffold
prerequisite_debt_reading	analytical	0.23807031360239492	mountain	scaffold	scaffold
press_reformation_causality__strategic_deployment	powerless	0.333403938822024	mountain	naturalized	naturalized
press_reformation_causality__strategic_deployment	moderate	0.33699475506580545	rope	naturalized	naturalized
press_reformation_causality__strategic_deployment	institutional	0.32773237573844677	rope	naturalized	naturalized
press_reformation_causality__strategic_deployment	analytical	0.33726627760339284	mountain	naturalized	naturalized
press_reformation_causation__mutual_shaping	powerless	0.09968515865131787	mountain	scaffold	piton
press_reformation_causation__mutual_shaping	moderate	0.09911610443111925	rope	scaffold	piton
press_reformation_causation__mutual_shaping	institutional	0.09639187521719023	rope	scaffold	piton
press_reformation_causation__mutual_shaping	analytical	0.0991959640009979	mountain	scaffold	piton
press_reformation_causation__strategic_deployment	powerless	0.30902399181908535	mountain	naturalized	naturalized
press_reformation_causation__strategic_deployment	moderate	0.30725992373646965	rope	naturalized	naturalized
press_reformation_causation__strategic_deployment	institutional	0.30891048745611666	rope	naturalized	naturalized
press_reformation_causation__strategic_deployment	analytical	0.30750748840309344	mountain	naturalized	naturalized
propagation_speed_asymmetry	powerless	0.05981109519079072	mountain	scaffold	rope
propagation_speed_asymmetry	moderate	0.05946966265867155	rope	scaffold	rope
